time,x,y,z
32849,0.46926,-0.11812,1.16664
32898,1.05080,-0.18715,1.19352
32949,0.86754,0.47625,1.01881
33006,0.66107,0.18365,1.46535
33049,-0.01455,0.15799,1.88318
33098,0.54623,0.04559,2.05972
33150,0.32448,0.27222,1.72253
33200,0.44299,0.01994,1.90395
33249,0.55172,0.23129,1.64128
33299,0.14855,0.06636,0.60403
33349,-0.71826,-0.59154,1.06524
33399,-0.51912,-0.62453,-0.20475
33449,-0.69200,-0.51030,-0.70566
33499,-0.40000,-0.68195,-0.54317
33550,-0.10923,-1.01792,-0.91641
33599,-0.48491,-0.33620,-1.07401
33650,-0.26011,-0.66240,-1.54133
33699,-1.46291,-1.08268,-0.95490
33749,-1.20879,-0.34536,0.50080
33799,-1.76101,-0.64346,0.08052
33850,-2.02796,0.08957,-1.03248
33899,-1.84531,-0.09552,-0.37763
33949,-0.03654,0.09874,-0.42894
34007,-0.00844,1.33330,-1.10395
34048,-1.00720,0.23924,-0.38190
34098,-1.05485,-0.67523,0.30410
34149,-0.98094,0.18609,1.16053
34199,-0.10984,-0.18348,0.83922
34248,1.05569,0.90874,0.23385
34299,0.82295,1.10911,1.18741
34350,0.77225,0.74320,2.14463
34399,0.61587,-0.27939,1.99986
34449,0.97505,0.37485,2.20939
34499,0.87671,-0.63430,2.60156
34549,0.40695,-0.11079,2.41219
34599,0.00072,-1.08634,2.22954
34649,0.68856,-1.91590,1.73902
34699,-1.18741,-7.09176,0.71093
34750,3.22487,-1.80838,-0.94390
34799,-0.37129,-1.62818,1.68587
34851,0.27806,0.20381,1.78422
34899,-0.15199,1.87758,0.33220
34950,0.00011,0.76092,0.73659
35006,0.34159,-1.77112,1.00171
35049,-0.40428,-0.49380,0.88320
35099,-0.21858,-0.17798,0.74331
35150,-0.21858,-0.17798,0.74331
35200,-0.08846,-0.09979,0.46048
35249,0.55600,0.71144,0.18254
35298,-0.38107,0.93135,0.59304
35349,-0.01577,0.25145,0.76347
35398,-0.38290,0.55566,0.84227
35449,0.46743,0.59842,0.73842
35498,1.53400,1.10422,1.17763
35549,-0.08663,0.59842,0.34747
35598,-1.65594,0.60942,1.03652
35649,0.90053,-0.79435,0.88747
35698,0.46315,-0.00144,0.80989
35749,0.05815,-0.14622,0.94551
35798,0.46987,-0.07414,0.75186
