time,x,y,z
28048,-8.88037,-6.11258,7.18282
28099,-10.56354,-5.67683,8.38236
28148,-10.21877,-4.03675,7.69999
28198,-5.83006,-3.76141,4.49884
28249,-7.28578,-4.66165,5.62176
28299,-8.12617,-4.81967,5.80612
28349,-6.62017,-5.02079,7.00325
28399,-10.85804,-5.27459,9.33049
28450,-8.54517,-7.86280,10.28580
28498,-12.55797,-6.21554,10.11581
28548,-8.25067,-0.49322,5.89949
28599,-8.88037,-5.65288,8.30095
28651,-4.90587,-6.27300,5.21712
28699,-7.91547,-4.73348,5.41346
28749,-7.81012,-3.27058,6.41905
28798,-5.80372,-2.44216,3.76619
28849,-3.64409,-1.78613,3.57705
28899,-6.10061,-2.04471,5.05192
28956,-6.05033,-3.28734,4.35040
28998,-8.46376,-4.44617,4.72630
29048,-8.26982,-5.03755,4.98488
29099,-10.42946,-5.90189,4.43420
29149,-9.72794,-3.59860,5.82048
29198,-5.80851,-1.78134,4.62334
29250,-7.80055,-1.27854,4.62095
29299,-8.38954,-0.50280,2.50441
29348,-8.46855,-0.31365,1.62811
29398,-8.70798,1.56107,3.84760
29449,-8.49489,1.86993,3.98647
29498,-7.24747,1.03912,2.09260
29549,-7.00565,0.77335,3.30649
29598,-6.73031,0.95053,2.26977
29648,-8.48770,1.16122,6.42384
29699,-6.78777,0.22027,2.81088
29749,-10.54918,-1.21629,4.76700
29798,-8.85642,-0.54589,5.69119
29849,-6.94819,-2.72468,4.66405
29899,-8.82290,-2.22907,6.22272
29958,-6.88354,-2.26020,6.03597
29998,-5.55232,-2.58821,5.62655
30048,-6.35919,-3.30410,5.90189
30098,-7.79815,-3.73507,6.91227
30149,-7.22832,-3.20833,6.40947
30199,-8.15729,-3.44297,6.14131
30249,-9.74949,-7.98491,8.69840
30298,-9.54837,-7.15888,8.71995
30348,-5.95935,-6.41905,5.46852
30400,-7.37916,-8.49010,4.45335
30449,-7.57788,-8.56911,4.55152
30500,-4.20914,-6.85241,6.19638
30548,-8.24588,-5.08783,7.65929
30599,-6.38074,-4.61137,6.31131
30649,-7.65929,-5.04953,6.59383
30698,-7.12776,-5.23388,5.39191
30749,-8.11180,-7.09663,4.92263
30798,-6.65369,-6.45257,5.41824
30849,-9.07430,-6.19399,7.43901
30898,-9.63935,-5.80372,2.73666
30957,-8.81572,-4.52039,1.57543
30998,-7.48211,-5.49725,1.64487
31049,-6.57707,-5.89949,2.94256
31098,-9.77343,-5.75584,4.04154
31149,-8.76065,-7.79576,-1.00560
31199,-6.96016,-5.94977,1.64247
31248,-7.77182,-1.88669,5.46852
31298,-9.54119,0.34956,3.72310
31349,-10.14215,-0.03831,1.18995
31399,-10.65931,-1.29530,1.18517
31448,-9.07670,0.71828,4.75024
31499,-9.02642,1.65444,3.98647
31548,-6.17244,3.76859,4.05111
31598,-6.40708,1.95373,0.02873
31648,-4.29772,0.74701,4.30251
31698,-5.25783,-1.47248,5.74626
31748,-9.82610,-4.65926,4.69996
31799,-6.49088,-3.78535,5.80372
31848,-7.36958,-5.23149,5.01840
31898,-7.05114,-4.58743,4.28096
31949,-8.33926,-4.34082,4.97770
32006,-8.20997,-3.78535,5.16684
32049,-9.35922,-5.03277,6.16047
32098,-9.48612,-5.50204,7.43422
32148,-10.45819,-6.77580,6.58665
32199,-7.55154,-3.17241,8.66009
32249,-6.76622,-4.53715,6.29455
32299,-9.37119,-4.65686,6.70636
32348,-9.19162,-3.98886,6.60580
32399,-5.96893,-2.82524,6.22990
32448,-8.21715,-3.46930,5.53077
32499,-8.68643,-5.34402,6.07906
32549,-6.36638,-4.53715,6.11737
32598,-9.20359,-5.18600,6.68003
32648,-8.13335,-5.58824,7.24268
32699,-10.50608,-6.35680,6.95537
32748,-9.65611,-5.60021,6.31370
32799,-9.52682,-4.39110,4.74785
32849,-7.54197,-2.91623,5.13811
32898,-7.20677,-2.35118,4.79094
32949,-7.72393,-1.60416,3.40466
33006,-8.40151,-1.57064,1.69994
