time,x,y,z
27798,18.06000,-8.88000,-45.36000
27849,18.42000,-6.42000,-44.88000
27899,16.62000,-3.96000,-46.02000
27960,16.32000,-0.66000,-45.36000
27999,16.38000,-0.24000,-45.24000
28048,19.26000,4.80000,-44.04000
28099,17.28000,8.76000,-43.62000
28149,12.60000,11.58000,-45.00000
28198,10.50000,14.04000,-44.16000
28249,9.48000,16.02000,-43.74000
28299,8.10000,17.82000,-43.02000
28349,6.42000,20.04000,-42.18000
28399,4.98000,21.18000,-41.82000
28450,3.96000,22.98000,-39.90000
28498,1.68000,22.86000,-41.04000
28548,0.18000,25.38000,-40.62000
28600,1.44000,27.42000,-36.60000
28651,3.72000,28.92000,-36.84000
28699,5.10000,28.80000,-36.72000
28749,5.64000,28.62000,-36.54000
28798,7.56000,28.20000,-36.48000
28849,10.14000,28.14000,-36.24000
28899,11.94000,27.66000,-36.84000
28956,13.08000,26.88000,-36.78000
28999,13.20000,26.76000,-36.54000
29048,14.28000,25.56000,-37.02000
29099,15.78000,24.36000,-37.08000
29149,16.62000,24.12000,-37.38000
29198,17.70000,24.42000,-36.24000
29250,20.04000,24.18000,-35.58000
29299,20.52000,24.48000,-34.74000
29349,21.60000,24.18000,-34.80000
29398,22.68000,24.24000,-33.78000
29449,25.14000,24.42000,-33.42000
29498,26.64000,21.66000,-32.94000
29549,29.28000,19.50000,-33.00000
29598,29.58000,17.28000,-33.60000
29648,30.24000,16.86000,-33.72000
29699,30.48000,15.84000,-33.72000
29749,30.30000,15.78000,-34.02000
29798,29.52000,16.74000,-34.26000
29849,29.40000,17.76000,-33.84000
29900,28.08000,18.66000,-33.12000
29958,27.12000,20.46000,-32.94000
29998,27.48000,20.64000,-32.94000
30048,27.24000,24.12000,-30.24000
30098,26.04000,27.00000,-29.94000
30149,24.24000,27.84000,-27.72000
30199,23.28000,30.12000,-27.72000
30249,22.32000,32.10000,-25.26000
30299,20.22000,34.50000,-22.80000
30348,19.50000,36.48000,-21.48000
30400,19.56000,37.62000,-17.28000
30449,19.56000,37.62000,-17.28000
30500,19.14000,39.54000,-12.36000
30548,19.68000,40.74000,-7.98000
30599,18.78000,41.88000,-3.96000
30649,17.40000,41.94000,-1.44000
30698,16.44000,41.94000,0.18000
30749,15.48000,43.44000,0.18000
30798,16.20000,43.08000,0.30000
30849,17.16000,42.60000,-1.26000
30898,19.20000,42.36000,-3.30000
30957,20.04000,41.82000,-3.66000
30998,23.34000,39.36000,-4.20000
31049,29.94000,36.30000,-4.08000
31098,32.88000,33.48000,-4.14000
31149,36.90000,30.54000,-5.10000
31199,40.08000,25.56000,-3.66000
31248,43.38000,21.60000,-2.22000
31298,46.62000,17.88000,-2.46000
31349,48.00000,14.88000,1.38000
31399,51.00000,10.92000,1.56000
31448,54.06000,4.86000,3.60000
31499,56.64000,-3.06000,6.72000
31548,58.02000,-9.48000,8.10000
31599,59.76000,-16.02000,11.76000
31648,61.14000,-24.18000,15.72000
31699,59.10000,-33.72000,14.10000
31748,54.96000,-38.88000,9.90000
31799,52.86000,-38.10000,6.48000
31849,50.34000,-36.54000,3.84000
31898,49.68000,-33.66000,2.70000
31949,49.74000,-30.78000,0.00000
32006,49.50000,-27.18000,-3.30000
32049,49.68000,-23.16000,-9.42000
32099,50.46000,-20.70000,-13.20000
32148,50.58000,-16.32000,-16.02000
32199,51.24000,-13.02000,-17.82000
32249,52.32000,-9.54000,-16.86000
32299,52.56000,-6.48000,-17.34000
32348,53.22000,-4.08000,-17.52000
32399,53.16000,-1.74000,-16.08000
32448,54.12000,-0.06000,-13.92000
32499,53.10000,1.32000,-13.80000
32549,54.24000,1.26000,-11.76000
32598,53.52000,1.74000,-8.70000
32648,53.94000,2.52000,-7.62000
32699,53.94000,3.24000,-6.60000
32748,52.86000,3.42000,-5.16000
32799,52.56000,4.02000,-3.96000
32849,52.20000,2.88000,-4.56000
32898,52.68000,-0.42000,-5.16000
32949,52.32000,-2.58000,-5.82000
33006,51.48000,-5.82000,-4.98000
33049,50.94000,-8.28000,-3.90000
33098,49.74000,-12.78000,-4.86000
33150,47.46000,-17.40000,-4.38000
33200,46.38000,-21.18000,-3.12000
33249,44.46000,-24.30000,-3.36000
33299,42.48000,-26.82000,-2.88000
33349,40.92000,-27.96000,-2.64000
33399,39.36000,-29.22000,-4.56000
33449,40.08000,-28.74000,-6.18000
33499,40.56000,-27.42000,-8.28000
33550,40.68000,-25.20000,-10.50000
33599,41.22000,-23.94000,-11.94000
33650,41.58000,-20.70000,-14.16000
33699,42.60000,-16.98000,-15.72000
33749,42.48000,-14.64000,-18.72000
33799,41.34000,-13.62000,-20.40000
33850,41.10000,-12.06000,-22.98000
33899,41.70000,-7.56000,-24.36000
33949,42.00000,-5.28000,-24.96000
34007,42.12000,-4.20000,-23.88000
34048,43.68000,-2.16000,-22.68000
34098,43.92000,0.48000,-21.12000
34149,42.72000,0.54000,-21.54000
34198,43.14000,-0.42000,-21.66000
34248,43.32000,-2.40000,-21.24000
34299,46.38000,-4.20000,-18.84000
34350,46.38000,-7.62000,-16.98000
34399,45.42000,-12.24000,-15.72000
34449,43.74000,-16.92000,-15.48000
34499,41.40000,-21.60000,-13.32000
34549,37.98000,-27.72000,-13.68000
34599,34.02000,-31.38000,-13.08000
34649,29.70000,-35.22000,-14.76000
34699,24.24000,-38.28000,-16.68000
34750,11.94000,-37.68000,-26.52000
34799,3.18000,-38.22000,-26.94000
34851,-4.02000,-39.06000,-26.82000
34899,-6.36000,-37.50000,-27.54000
34950,-4.68000,-37.08000,-28.44000
35006,-5.64000,-37.56000,-27.90000
35049,-9.66000,-37.02000,-26.88000
35098,-10.68000,-36.72000,-27.12000
35150,-10.68000,-36.72000,-27.12000
35200,-12.84000,-35.34000,-27.90000
35249,-14.22000,-35.04000,-27.66000
35298,-12.06000,-35.64000,-27.24000
35349,-12.60000,-34.80000,-28.86000
35398,-12.78000,-34.50000,-29.34000
35449,-13.80000,-33.54000,-29.82000
35498,-14.94000,-33.54000,-29.34000
35549,-14.40000,-34.32000,-27.60000
35598,-15.24000,-33.72000,-29.04000
35649,-16.32000,-31.92000,-31.26000
35698,-18.84000,-32.22000,-29.22000
35749,-19.98000,-31.62000,-28.62000
35798,-21.96000,-30.00000,-29.10000
35849,-22.50000,-30.24000,-27.66000
35899,-24.48000,-28.92000,-27.12000
35949,-24.66000,-28.86000,-26.70000
35999,-25.92000,-28.68000,-27.96000
